metric_id,dataset,model,metric,value,units,population,source_file,source_column,status,report_section,destination,notes
SF-store_item_demand-SES-MASE,store_item_demand,SES,MASE,1.213569,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-store_item_demand-SES-RMSSE,store_item_demand,SES,RMSSE,1.209376,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-store_item_demand-TES-MASE,store_item_demand,TES,MASE,2.111143,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-store_item_demand-TES-RMSSE,store_item_demand,TES,RMSSE,2.156089,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-ARIMA-MASE,m5,ARIMA,MASE,1.505192,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-ARIMA-RMSSE,m5,ARIMA,RMSSE,1.04902,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-store_item_demand-ARIMA-MASE,store_item_demand,ARIMA,MASE,1.451747,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-store_item_demand-ARIMA-RMSSE,store_item_demand,ARIMA,RMSSE,1.431524,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-LSTM-MASE,m5,LSTM,MASE,1.3162,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-LSTM-RMSSE,m5,LSTM,RMSSE,0.845826,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-store_item_demand-LSTM-MASE,store_item_demand,LSTM,MASE,0.977554,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-store_item_demand-LSTM-RMSSE,store_item_demand,LSTM,RMSSE,0.970881,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-CROSTON-MASE,m5,CROSTON,MASE,1.416791,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-CROSTON-RMSSE,m5,CROSTON,RMSSE,0.867597,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-SBA-MASE,m5,SBA,MASE,1.412814,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-SBA-RMSSE,m5,SBA,RMSSE,0.889195,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-TSB-MASE,m5,TSB,MASE,1.368755,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-TSB-RMSSE,m5,TSB,RMSSE,0.884352,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-store_item_demand-SARIMA-MASE,store_item_demand,SARIMA,MASE,1.054558,ratio,500sx8ox28d=112000,06_results/arima/metrics_by_model.csv,MASE,FINAL,4.3/4.14,T-04,"FULL500 (4000 fits, 0 fallbacks); supersedes summary.csv subset row n=100 (MASE 1.0688)"
SF-store_item_demand-SARIMA-RMSSE,store_item_demand,SARIMA,RMSSE,1.040142,ratio,500sx8ox28d=112000,06_results/arima/metrics_by_model.csv,RMSSE,FINAL,4.3/4.14,T-04,"FULL500 (4000 fits, 0 fallbacks); supersedes summary.csv subset row n=100 (MASE 1.0688)"
SF-M5-SARIMA-notrun,m5,SARIMA,not-run,,,,,,FINAL,4.14,,SARIMA never run on M5 by design (seasonal differencing dubious on intermittent demand)
INV-m5-ARIMA-cost,m5,ARIMA,total_cost,194.59647,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.7,T-06,POLICY_DEFAULT L7/95%/H1/P5; hold=162.62 short=31.98
INV-m5-ARIMA-sl,m5,ARIMA,service_level,0.895705,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.7,T-06,avg_inv=5.81 reorders=10.72
INV-m5-CROSTON-cost,m5,CROSTON,total_cost,174.81331,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.7,T-06,POLICY_DEFAULT L7/95%/H1/P5; hold=154.54 short=20.28
